  14  27
   8  23.800 228.56 228.62 228.75 228.80 228.86 228.96 229.09 229.13 229.14 228.97 228.74 228.68 228.62 228.60 228.80 228.80 228.73 228.62 228.41 228.33 228.28 228.49 228.42 228.34 228.17 228.26 228.20
   9  23.800 177.40 177.60 177.59 177.37 177.26 177.44 178.01 177.96 178.26 177.83 177.39 177.20 177.07 176.97 177.55 177.27 177.31 177.07 176.89 176.75 176.73 177.16 176.86 176.83 176.35 176.40 176.09
  10  36.500 220.73 220.74 220.77 220.76 220.88 220.99 221.10 220.94 221.04 220.83 220.68 220.66 220.65 220.62 220.75 220.73 220.72 220.71 220.57 220.60 220.58 220.76 220.72 220.67 220.50 220.59 220.51
  11  36.500 155.00 155.20 155.23 155.15 155.26 155.25 155.74 155.39 155.59 155.39 154.95 154.92 154.90 154.66 155.19 154.94 155.12 155.06 155.10 154.85 154.79 155.00 155.14 154.91 154.46 154.66 154.29
  12  89.000 265.97 266.05 266.10 266.18 266.22 266.33 266.35 266.39 266.41 266.33 266.22 266.10 266.07 266.01 266.19 266.24 266.16 266.02 266.01 265.97 265.97 266.06 266.06 265.99 265.91 265.93 265.86
  13  89.000 239.81 239.90 239.81 239.80 240.02 240.22 240.21 240.55 240.62 240.53 240.41 239.98 239.98 239.53 239.82 240.07 239.95 240.18 239.95 239.59 239.51 239.75 239.64 239.70 239.38 239.61 239.41
   0   6.925 172.19 172.20 172.20 172.19 172.20 172.22 172.20 172.20 172.09 172.04 171.97 172.01 172.02 172.08 172.13 172.28 172.45 172.54 172.34 172.11 172.01 171.93 171.86 171.85 171.83 171.86 171.86
   1   6.925  87.10  87.15  87.17  87.19  87.21  87.22  87.13  87.09  86.99  86.95  86.87  86.90  86.92  86.98  87.07  87.26  87.64  87.81  87.52  87.14  86.97  86.91  86.85  86.83  86.84  86.86  86.85
   2   7.300 172.92 172.95 172.92 172.90 172.90 172.92 172.88 172.88 172.74 172.68 172.60 172.64 172.66 172.72 172.78 172.91 173.08 173.15 172.98 172.75 172.65 172.58 172.53 172.53 172.50 172.53 172.55
   3   7.300  88.41  88.45  88.44  88.43  88.43  88.41  88.29  88.22  88.10  88.04  87.94  87.98  87.99  88.04  88.13  88.31  88.69  88.86  88.58  88.24  88.08  88.05  87.99  87.99  88.00  88.03  88.03
   4  10.650 179.74 179.76 179.78 179.84 179.86 179.83 179.78 179.81 179.74 179.71 179.61 179.64 179.68 179.71 179.78 179.84 179.95 180.01 179.88 179.73 179.64 179.66 179.62 179.61 179.60 179.62 179.62
   5  10.650  94.59  94.61  94.65  94.68  94.72  94.72  94.61  94.58  94.48  94.45  94.35  94.39  94.41  94.38  94.50  94.63  94.87  95.05  94.77  94.59  94.46  94.44  94.45  94.48  94.45  94.40  94.37
   6  18.700 204.91 205.04 205.05 205.08 205.19 205.25 205.21 205.18 205.14 205.08 204.97 204.93 204.93 204.86 205.04 205.11 205.15 205.14 204.93 204.97 204.86 204.99 204.95 204.89 204.80 204.80 204.77
   7  18.700 132.09 132.18 132.33 132.15 132.32 132.30 132.39 132.16 132.19 132.13 131.94 131.93 131.87 131.66 132.05 132.13 132.28 132.28 131.94 131.94 131.71 131.91 131.84 131.79 131.61 131.69 131.49
   8  23.800 234.55 234.62 234.73 234.77 234.86 235.04 235.05 235.06 235.07 234.93 234.72 234.66 234.61 234.56 234.74 234.84 234.82 234.72 234.48 234.42 234.27 234.44 234.39 234.32 234.21 234.26 234.26
   9  23.800 188.21 188.43 188.39 188.22 188.22 188.45 188.87 188.73 188.95 188.63 188.23 188.02 187.94 187.65 188.21 188.18 188.27 188.05 187.73 187.67 187.44 187.69 187.53 187.55 187.20 187.26 187.07
  10  36.500 224.09 224.20 224.26 224.25 224.39 224.53 224.52 224.42 224.46 224.29 224.16 224.08 224.09 224.05 224.23 224.32 224.34 224.34 224.16 224.23 224.07 224.20 224.17 224.15 224.02 224.07 224.01
  11  36.500 162.26 162.53 162.48 162.49 162.75 162.78 163.02 162.72 162.78 162.64 162.36 162.29 162.25 161.93 162.48 162.56 162.75 162.69 162.50 162.36 162.09 162.15 162.32 162.21 161.97 162.14 161.87
  12  89.000 267.69 267.78 267.82 267.85 267.97 268.10 268.10 268.20 268.15 268.12 268.08 268.01 267.99 267.80 267.98 268.10 268.04 267.90 267.80 267.84 267.74 267.83 267.90 267.77 267.73 267.70 267.66
  13  89.000 243.13 243.23 243.16 243.11 243.44 243.58 243.56 243.85 243.81 243.87 243.85 243.48 243.58 242.90 243.17 243.64 243.43 243.67 243.28 243.02 242.81 243.08 243.11 243.17 242.97 243.10 242.92
